"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0,0.313,0.656,0.656,0.313,0.313,0.313,0.656,0.662,0.662,0.584,0.369,0.925,0.925,0.721,0.721,0.721,0.721,0.721,0.721,0.721
0.687,0,0.591,0.591,0.874,0.874,0.944,0.521,1,1,0.687,0.64,0.86,0.86,0.796,0.796,0.796,0.796,0.796,0.796,0.796
0.5,0.409,0,1,0.409,0.409,0.409,0.687,0.409,0.409,0.425,0.409,0.612,0.738,0.777,0.777,0.777,0.777,0.777,0.777,0.777
0.5,0.409,0.777,0,0.409,0.409,0.409,0.687,0.409,0.409,0.425,0.409,0.612,0.612,0.777,0.777,0.777,0.777,0.777,0.777,0.777
0.687,0.953,0.591,0.591,0,0.827,0.897,0.647,0.953,0.953,0.687,0.64,0.86,0.86,0.796,0.796,0.796,0.796,0.796,0.796,0.796
0.813,1,0.591,0.591,1,0,0.944,0.647,1,1,0.813,0.766,0.86,0.86,0.796,0.796,0.796,0.796,0.796,0.796,0.796
0.687,0.874,0.647,0.647,0.874,0.874,0,0.521,1,1,0.687,0.64,0.86,0.86,0.796,0.67,0.796,0.796,0.796,0.796,0.796
0.687,0.535,0.837,0.837,0.535,0.409,0.479,0,0.722,0.722,0.425,0.409,0.925,0.925,0.903,0.903,0.903,0.796,0.796,0.796,0.796
0.687,0.371,0.591,0.591,0.418,0.371,0.371,0.465,0,1,0.393,0.427,0.86,0.86,0.67,0.67,0.67,0.796,0.796,0.796,0.796
0.687,0.371,0.591,0.591,0.418,0.371,0.371,0.465,1,0,0.393,0.427,0.86,0.86,0.67,0.67,0.67,0.796,0.796,0.796,0.796
0.874,0.682,0.731,0.731,0.682,0.556,0.682,0.731,0.844,0.844,0,0.425,1,1,0.796,0.796,0.796,0.796,0.796,0.796,0.796
0.678,0.944,0.591,0.591,0.944,0.818,0.944,0.591,0.944,0.944,0.757,0,0.86,0.86,0.796,0.796,0.796,0.796,0.796,0.796,0.796
0.631,0.215,0.731,0.731,0.215,0.215,0.215,0.605,0.508,0.508,0.337,0.215,0,1,0.67,0.67,0.67,0.67,0.67,0.67,0.67
0.631,0.215,0.605,0.731,0.215,0.215,0.215,0.605,0.508,0.508,0.337,0.215,0.874,0,0.67,0.67,0.67,0.67,0.67,0.67,0.67
0.541,0.344,0.454,0.454,0.344,0.344,0.344,0.435,0.576,0.576,0.466,0.344,0.592,0.592,0,0.874,0.874,0.893,0.893,0.893,0.893
0.541,0.344,0.454,0.454,0.344,0.344,0.47,0.435,0.576,0.576,0.466,0.344,0.592,0.592,0.91,0,0.91,0.803,0.803,0.803,0.803
0.541,0.344,0.454,0.454,0.344,0.344,0.344,0.435,0.576,0.576,0.466,0.344,0.592,0.592,0.91,0.874,0,0.803,0.803,0.803,0.803
0.541,0.204,0.454,0.454,0.204,0.204,0.204,0.435,0.31,0.31,0.466,0.204,0.592,0.592,0.687,0.687,0.687,0,1,0.953,0.953
0.541,0.204,0.454,0.454,0.204,0.204,0.204,0.435,0.31,0.31,0.466,0.204,0.592,0.592,0.687,0.687,0.687,1,0,0.953,0.953
0.541,0.204,0.454,0.454,0.204,0.204,0.204,0.435,0.31,0.31,0.466,0.204,0.592,0.592,0.541,0.631,0.631,0.854,0.854,0,1
0.541,0.204,0.454,0.454,0.204,0.204,0.204,0.435,0.31,0.31,0.466,0.204,0.592,0.592,0.541,0.631,0.631,0.854,0.854,1,0
