"Alternative","Score","Nom parc","CRC affilié"
"a2",20,"Dieppe - Le Tréport","Normandie - Mer du Nord"
"a5",20,"Fécamp","Normandie - Mer du Nord"
"a6",20,"Calvados","Normandie - Mer du Nord"
"a7",20,"Saint-Brieuc","Bretagne Nord"
"a12",20,"Yeu - Noirmoutier","Pays de la Loire"
"a3",13,"Centre Manche I","Normandie - Mer du Nord"
"a8",13,"Groix - Belle-Île (pilote)","Bretagne Sud"
"a9",13,"Bretagne Sud","Bretagne Sud"
"a10",13,"Bretagne Sud (extension)","Bretagne Sud"
"a11",10,"Saint Nazaire","Pays de la Loire"
"a15",10,"Gruissan (pilote)","Méditéranée"
"a16",10,"Leucate (pilote)","Méditéranée"
"a17",10,"Faraman (pilote)","Méditéranée"
"a18",8,"Méditerranée I","Méditéranée"
"a19",8,"Méditerranée I (extension)","Méditéranée"
"a20",8,"Méditerranée II","Méditéranée"
"a21",8,"Méditerranée II (extension)","Méditéranée"
"a13",5,"Sud Atlantique","Charente-Maritime"
"a14",5,"Sud Atlantique (extension)","Charente-Maritime"
"a1",3,"Dunkerque","Normandie - Mer du Nord"
"a4",3,"Centre Manche II","Normandie - Mer du Nord"
